Repo_Name,Repo_URL,Stars,Forks,contributors_count,create_date,repo_age_days,PRs,Issues,Total_MD_Files,Has_SECURITY,Has_CONTRIBUTING,Has_SKILL,Has_AGENTS
openclaw,https://github.com/openclaw/openclaw,387625,81375,3153,2025-11-24T10:16:47Z,274,78596,48703,1225,True,True,True,True
ECC,https://github.com/affaan-m/ECC,243237,36793,318,2026-01-18T00:51:51Z,220,2022,719,2516,True,True,True,True
hermes-agent,https://github.com/NousResearch/hermes-agent,236495,47760,3042,2025-07-22T22:22:28Z,399,70647,23996,1558,True,True,True,True
n8n,https://github.com/n8n-io/n8n,202432,60387,772,2019-06-22T09:24:21Z,2621,26695,10102,625,True,True,True,True
opencode,https://github.com/anomalyco/opencode,201408,26098,1004,2025-04-30T20:08:00Z,482,19600,24849,152,True,True,True,True
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,186870,46052,840,2023-03-16T09:21:07Z,1258,8681,3945,399,True,True,True,True
langflow,https://github.com/langflow-ai/langflow,153684,9934,378,2023-02-08T22:28:03Z,1294,10538,3436,121,True,True,True,True
dify,https://github.com/langgenius/dify,153519,24261,1445,2023-04-12T07:40:24Z,1231,17467,18719,160,True,True,True,True
generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,118556,62513,154,2023-06-19T16:28:59Z,1163,886,244,2261,True,True,True,True
codex,https://github.com/openai/codex,118272,18022,579,2025-04-13T05:37:54Z,499,15311,24296,173,True,True,True,True
browser-use,https://github.com/browser-use/browser-use,110529,12164,355,2024-10-31T16:00:56Z,663,3519,1617,58,True,True,True,True
pi,https://github.com/earendil-works/pi,97336,12037,283,2025-08-09T14:03:50Z,381,2932,5402,97,True,True,True,True
ragflow,https://github.com/infiniflow/ragflow,89253,10497,763,2023-12-12T06:13:13Z,987,10301,7654,214,True,True,True,True
worldmonitor,https://github.com/koala73/worldmonitor,84155,12611,153,2026-01-08T17:26:06Z,229,5333,1702,377,True,True,True,True
lobehub,https://github.com/lobehub/lobehub,81992,15831,354,2023-05-21T07:19:12Z,1192,10568,6424,291,True,True,True,True
deer-flow,https://github.com/bytedance/deer-flow,80894,11133,373,2025-05-07T02:50:19Z,476,2955,1903,222,True,True,True,True
paperclip,https://github.com/paperclipai/paperclip,79381,14563,212,2026-03-02T15:01:51Z,176,9037,2960,429,True,True,True,True
ansible,https://github.com/ansible/ansible,70464,24324,6948,2012-03-06T14:58:02Z,5285,52888,33428,65,True,True,True,True
ruflo,https://github.com/ruvnet/ruflo,69414,8300,40,2025-06-02T21:24:20Z,449,1329,1647,1882,True,True,True,True
career-ops,https://github.com/santifer/career-ops,68447,12977,317,2026-04-04T18:21:18Z,143,2021,1126,294,True,True,True,True
cline,https://github.com/cline/cline,66851,7219,322,2024-07-06T07:28:10Z,780,7369,4423,189,True,True,True,True
mem0,https://github.com/mem0ai/mem0,64042,7496,399,2023-06-20T08:58:36Z,1162,4700,2119,133,True,True,True,True
crewAI,https://github.com/crewAIInc/crewAI,57616,8249,304,2023-10-27T03:26:59Z,1034,4536,2129,104,True,True,True,True
goose,https://github.com/aaif-goose/goose,53473,6105,617,2024-08-23T19:03:36Z,732,8357,2852,344,True,True,True,True
