Repo_Name,Repo_URL,PRs_Total,Commits_With_Claude_Code_Signature,Commits_With_Cursor_Signature,Commits_With_GitHub_Copilot_Signature,Commits_With_Codex_Signature,Commits_With_Generic_AI_Marker_Signature,Total_AI_Signed_Commits_Any_Signature,Bot_Contributor_Accounts,Bot_Contributor_Count,Bot_Total_Contributions
eliza,https://github.com/elizaOS/eliza,21771,6434,98,0,13,6,6551,"dependabot[bot], github-actions[bot]",2,139
ruflo,https://github.com/ruvnet/ruflo,1329,3121,0,1,0,2300,5422,dependabot[bot],1,6
posthog,https://github.com/PostHog/posthog,77853,4380,172,174,1,30,4757,"posthog[bot], mendral-app[bot], posthog-js-upgrader[bot], scheduled-actions-posthog[bot], posthog-contributions-bot[bot]",5,2607
mlflow,https://github.com/mlflow/mlflow,19014,1835,19,1311,3,1,3169,"Copilot, mlflow-app[bot], dependabot[bot]",3,1524
n8n,https://github.com/n8n-io/n8n,26695,2464,329,12,6,0,2811,"n8n-cat-bot[bot], github-actions[bot], n8n-assistant[bot], n8n-release-tag-merge[bot]",4,693
CopilotKit,https://github.com/CopilotKit/CopilotKit,5329,1518,8,4,0,538,2068,"github-actions[bot], copilotkit-qa-bot[bot], renovate[bot], dependabot[bot], copilotkit-bot[bot]",5,1020
lobehub,https://github.com/lobehub/lobehub,10568,1860,6,27,2,153,2048,"renovate[bot], gru-agent[bot], dependabot[bot]",3,335
claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,138,1728,0,0,0,0,1728,claude[bot],1,4
claude-mem,https://github.com/thedotmack/claude-mem,1501,1261,62,20,0,348,1691,"Copilot, posthog[bot], github-actions[bot], cursor[bot]",4,85
OpenMetadata,https://github.com/open-metadata/OpenMetadata,20940,1377,9,198,1,33,1618,"dependabot[bot], Copilot, detail-app[bot], github-actions[bot]",4,290
cognee,https://github.com/topoteretes/cognee,3520,1129,22,13,0,344,1508,"dependabot[bot], pensarapp[bot]",2,16
openclaw,https://github.com/openclaw/openclaw,78596,1041,135,199,19,33,1427,"github-actions[bot], openclaw-mantis[bot], clawsweeper[bot], openclaw-clownfish[bot]",4,1677
gsd-2,https://github.com/gsd-build/gsd-2,3525,1248,0,42,0,0,1290,"github-actions[bot], Copilot, coderabbitai[bot], blacksmith-sh[bot]",4,113
oh-my-openagent,https://github.com/code-yeongyu/oh-my-openagent,4606,464,50,65,2,648,1229,github-actions[bot],1,776
cherry-studio,https://github.com/CherryHQ/cherry-studio,7190,988,8,76,0,156,1228,"github-actions[bot], dependabot[bot], Copilot",3,95
PraisonAI,https://github.com/MervinPraison/PraisonAI,2551,422,152,89,0,541,1204,"praisonai-triage-agent[bot], github-actions[bot], claude[bot], Copilot, cursor[bot], dependabot[bot]",6,3947
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,8681,708,18,52,0,349,1127,"dependabot[bot], seer-by-sentry[bot], Copilot",3,228
N.E.K.O,https://github.com/Project-N-E-K-O/N.E.K.O,2758,1070,29,3,3,4,1109,coderabbitai[bot],1,1
agent-framework,https://github.com/microsoft/agent-framework,4209,23,1,1021,0,3,1048,"dependabot[bot], Copilot",2,367
hyperframes,https://github.com/heygen-com/hyperframes,3147,923,11,4,2,105,1045,"heygengenesis[bot], renovate[bot], github-actions[bot]",3,23
