Repo_Name,Repo_URL,Domain,Primary_Language,Stars,Has_SECURITY_md_flag,Docs_Has_SECURITY_File_In_Docs,Docs_Has_README_In_Docs,Docs_Total_Doc_Files_Scanned,Docs_SECURITY_MD_Char_Count,Docs_Has_Contact_Channel,Docs_Has_Response_SLA,Docs_Has_Supported_Versions,Docs_Has_PGP_Key,Docs_Sandboxing,Docs_Human_Approval_Gate,Docs_Tool_Allow_Deny_List,Docs_Rate_Limiting,Docs_Credential_Handling,Docs_Prompt_Injection_Awareness,Docs_Audit_Logging,Docs_Guardrail_Signal_Count,Advisory_GHSA_API_Advisory_Count,Advisory_GHSA_API_Ids,Advisory_Release_CVE_Mentions,Advisory_Release_GHSA_Mentions,Advisory_Release_Security_Keyword_Count,Advisory_Docs_CVE_Mentions,Advisory_Docs_GHSA_Mentions,Advisory_Docs_Security_Keyword_Count,Advisory_Distinct_CVE_Count,Advisory_Distinct_GHSA_Count,Advisory_Any_Advisory_Signal,Advisory_Advisory_Sources_Used,DepRisk_Total_Dependencies_In_SBOM,DepRisk_Vulnerable_Dependency_Count,DepRisk_Distinct_Vulnerability_Count,DepRisk_Vulnerable_Dependency_Ratio,DepRisk_Sample_Vulnerable_Dependencies,Diagnosis_GHSA_Recheck_Status,Diagnosis_Doc_Corpus_Coverage,Diagnosis_Possibly_Missed_Changelog_Files,Diagnosis_OSV_Self_Package_Ecosystem_Tried,Diagnosis_OSV_Self_Package_Hits,Diagnosis_Likely_Real_Absence
openclaw,https://github.com/openclaw/openclaw,General Task & Personal Assistant,TypeScript,387625,TRUE,True,True,2138,47483,True,False,False,False,True,True,True,True,True,True,True,7,100,"GHSA-rx8p-qcpv-c7vr, GHSA-xvwp-wmh2-fq48, GHSA-5j57-84cx-r295, GHSA-m78m-7h3q-q938, GHSA-vhpg-cq3w-v8p9, GHSA-7jfq-rmfm-29wp, GHSA-3mq7-q27j-mq7q, GHSA-v7hh-7676-rg67, GHSA-9m4p-cqp4-jppq, GHSA-5rx7-34fw-64qg, GHSA-g24w-m94m-59qc, GHSA-62qm-6fjj-6g23, GHSA-fphf-69cp-h5xw, GHSA-wjfv-5qch-m5vj, GHSA-w5x7-c87m-3jpc, GHSA-chr6-w4m5-57fv, GHSA-h2qg-fxpv-82v6, GHSA-hgv5-f2r3-6v9r, GHSA-6xpv-wwr5-265h, GHSA-qgj5-6x35-9g6f, GHSA-rrxp-5mx8-mvhh, GHSA-5fwv-rrvp-8xvr, GHSA-5x6q-wg56-rxg8, GHSA-356g-m7rx-7pm3, GHSA-66hm-hxq3-5pfh, GHSA-rm45-4jx5-2927, GHSA-8938-r7c6-54vq, GHSA-jjpc-p3xf-8g7p, GHSA-wwcw-jfpp-gpxw, GHSA-h9jh-75j7-7hhx, GHSA-g697-vv6h-r8hv, GHSA-cf95-m4jv-59rc, GHSA-mm7m-wcgh-8mfq, GHSA-7cp7-87pj-p32v, GHSA-4r25-35qc-fr6j, GHSA-9f86-pvv5-rxfw, GHSA-74gc-hg2m-79p9, GHSA-ghpx-6xwq-2w4w, GHSA-j4mm-p864-vx7f, GHSA-xx9p-hc9w-6p5h, GHSA-39hf-qg99-f4qv, GHSA-fgwg-c3wv-8f45, GHSA-p3h6-v2h4-36q2, GHSA-hpg5-cq3m-phqp, GHSA-pfrw-r5vr-89hw, GHSA-5mrc-77hj-xjxv, GHSA-xw48-j584-r73h, GHSA-fw6q-2frm-jxxr, GHSA-5m4g-88rg-69pj, GHSA-72p2-79fg-pvph, GHSA-58qx-6m8p-wh2j, GHSA-4g58-43jr-6738, GHSA-fvxr-9g24-x3hf, GHSA-qw7m-h363-33qw, GHSA-4wvr-f35r-f8w4, GHSA-8xxh-v4vc-qvm4, GHSA-gcm4-fmcp-2f9r, GHSA-g7fw-3gjp-g5hf, GHSA-35wj-hm2r-ghgw, GHSA-rgjw-6v73-php6, GHSA-p5g8-m35v-7m82, GHSA-9p6m-2872-xm7x, GHSA-pjjr-5qhr-5w6r, GHSA-jghr-xp78-995p, GHSA-9x88-f7rh-4c83, GHSA-5j27-v2pw-cj9m, GHSA-xw9g-7xvv-gcjc, GHSA-22v4-33m3-8p7m, GHSA-q9j5-4xr6-xqqw, GHSA-89cw-7452-cfrf, GHSA-4hwv-rj92-h7rp, GHSA-wwx7-573h-pqwc, GHSA-crg9-c62w-j2p5, GHSA-jhfx-v2j8-x3m6, GHSA-r88x-r7jj-f2cf, GHSA-2q7j-2vhx-56g8, GHSA-w8wf-3qvj-6xqf, GHSA-m38g-vpwj-mpg9, GHSA-3fp5-v549-9v66, GHSA-v7hx-r36p-f68m, GHSA-3pmr-x9g8-m55r, GHSA-wgq8-x5wm-g4rw, GHSA-7vrr-rp4x-4g76, GHSA-52xj-c9p8-78cv, GHSA-fh38-965w-f6c3, GHSA-3x84-qq85-fj65, GHSA-v4f6-x5g5-2g4g, GHSA-hjr6-g723-hmfm, GHSA-9969-8g9h-rxwm, GHSA-mgvr-6gvw-3rgr, GHSA-224w-vfr9-h35c, GHSA-mm9g-83wh-mhwj, GHSA-wxh3-g47h-q3mc, GHSA-575v-8hfq-m3mc, GHSA-p5xh-frrh-cmgj, GHSA-f6p7-6326-vf7v, GHSA-cf2p-f286-mphf, GHSA-9c3v-684m-579c, GHSA-wp73-f3gg-w4vr, GHSA-4xwj-mcc7-x7x5",,"GHSA-2PWV-X786-56F8, GHSA-2RQG-GJGV-84JM, GHSA-4MHR-G7XJ-CG8J, GHSA-57JW-9722-6RF2, GHSA-5M9R-P9G7-679C, GHSA-5WCW-8JJV-M286, GHSA-6HC3-F4RG-377M, GHSA-6RPH-MMHP-H7H9, GHSA-72FW-CQH5-F324, GHSA-76M6-PJ3W-V7MF, GHSA-7JRW-X62H-64P8, GHSA-99QW-6MR3-36QR, GHSA-9R3V-37XH-2CF6, GHSA-CMWH-PVXP-8882, GHSA-F8R2-VG7X-GH8M, GHSA-G353-MGV3-8PCJ, GHSA-GQ3J-XVXP-8HRF, GHSA-JC5J-VG4R-J5JX, GHSA-JF5V-PQGW-GM5M, GHSA-JV4G-M82P-2J93, GHSA-JVQH-RFMH-JH27, GHSA-M69H-JM2F-2PV8, GHSA-MHXH-9PJM-W7Q5, GHSA-PCQG-F7RG-XFVV, GHSA-QFFP-2RHF-9H96, GHSA-R7VR-GR74-94P8, GHSA-RQPP-RJJ8-7WV8, GHSA-VMHQ-CQM9-6P7Q, GHSA-WCXR-59V9-RXR8, GHSA-X7PP-23XV-MMR4, GHSA-XWX2-PPV2-WX98",0,,,4,0,131,True,"GHSA_API, Releases, Docs_Corpus",1506,9,10,0.006,"sandbox@4.2.1 (npm): GHSA-fm4j-4xhm-xpwx,GHSA-gc25-3vc5-2jf9; sandbox@4.1.0 (npm): GHSA-fm4j-4xhm-xpwx,GHSA-gc25-3vc5-2jf9; glib@0.18.5 (crates.io): GHSA-wrw7-89jp-8q8g,RUSTSEC-2024-0429; unic-char-range@0.9.0 (crates.io): RUSTSEC-2025-0075; unic-ucd-ident@0.9.0 (crates.io): RUSTSEC-2025-0100",,,,,,
ECC,https://github.com/affaan-m/ECC,Coding Agent,JavaScript,243237,TRUE,True,True,2557,125556,True,False,True,False,True,True,True,True,True,True,True,7,0,,,,1,,,5,0,0,True,"Releases, Docs_Corpus",787,0,0,0.0,,,,,,,
hermes-agent,https://github.com/NousResearch/hermes-agent,Coding Agent,Python,236495,TRUE,True,True,1646,81786,True,False,False,False,True,True,True,True,True,True,True,7,0,,CVE-2026-48710,"GHSA-5QR3-C538-WM9J, GHSA-RHGP-J443-P4RF",3,,,2,1,2,True,"Releases, Docs_Corpus",3269,35,57,0.0107,"@xmldom/xmldom@0.9.10 (npm): GHSA-27p8-2357-5qqv,GHSA-3px3-54cx-rmw9,GHSA-4w3w-2rp5-g8jm; httpx2@2.7.0 (PyPI): GHSA-7mj9-2mp8-4m2p,GHSA-8xx6-hgc6-gc2m,GHSA-f2fp-rgf2-35cp; @xmldom/xmldom@0.8.13 (npm): GHSA-27p8-2357-5qqv,GHSA-4w3w-2rp5-g8jm,GHSA-6gmq-8vp8-gcm6; fast-uri@3.1.5 (npm): GHSA-5jgf-p345-68v8,GHSA-f65p-4m7j-42xc,GHSA-fph4-wmhf-6fwf; fast-uri@3.1.5 (npm): GHSA-5jgf-p345-68v8,GHSA-f65p-4m7j-42xc,GHSA-fph4-wmhf-6fwf",,,,,,
n8n,https://github.com/n8n-io/n8n,Workflow & Automation Platform,TypeScript,202432,TRUE,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0,100,"GHSA-cw9w-vv67-hf73, GHSA-fm93-2x43-6676, GHSA-6xcw-7xm6-48c6, GHSA-hvrx-jc5j-pg3w, GHSA-pf83-w3f9-8m37, GHSA-34ff-336r-5q23, GHSA-7hgx-277f-7vmg, GHSA-j535-v25q-vx3q, GHSA-5m98-cgcr-xx3q, GHSA-f2cp-m7mv-8jpv, GHSA-qgpw-8g46-w95v, GHSA-q5wm-mgqx-fv2f, GHSA-679f-58pq-4v2c, GHSA-cqr2-h44g-v75v, GHSA-pq6c-vh67-xpm3, GHSA-65xw-2v52-jhxc, GHSA-35jj-42hp-8gmq, GHSA-hw8v-xxg5-vvvx, GHSA-hh89-3r9w-qj3j, GHSA-fg85-4wv2-p98j, GHSA-4r56-g65c-fm83, GHSA-wxwj-8wv6-vpw2, GHSA-mwp5-2m32-r54h, GHSA-9x83-43r8-5hwc, GHSA-95ph-833c-4wrp, GHSA-vrv8-j27g-g7cr, GHSA-jp9j-jr97-w9pj, GHSA-jmmj-93rg-6j39, GHSA-6h4x-896x-fw5m, GHSA-c4f6-59xq-95ww, GHSA-953p-jm2c-8h5j, GHSA-f4f3-2g67-4vhm, GHSA-rmr5-775f-jvm2, GHSA-vfrj-582q-mvcp, GHSA-233r-fpgw-fx8x, GHSA-fh4c-9rr2-p7qc, GHSA-9fqj-7wc5-cwhx, GHSA-m3hg-p5r9-fg9h, GHSA-xhmh-8fgr-xqhj, GHSA-r4j2-j3wm-q689, GHSA-wcv8-x773-j96r, GHSA-q3fv-295f-qfpf, GHSA-c9c6-rq46-h25v, GHSA-m87g-qr43-ccvc, GHSA-9rp2-wm75-c5fj, GHSA-xwx6-jjhv-84p8, GHSA-652q-gvq3-74qv, GHSA-xmc9-4f2h-jf9c, GHSA-cj9h-qx8g-pq2g, GHSA-9cmh-xcqm-5hqr, GHSA-gv7g-jm28-cr3m, GHSA-2x35-3fw4-9jr4, GHSA-rcv6-pvrj-4xcg, GHSA-vhf8-cg2h-cg3p, GHSA-hx4h-vr3m-45vh, GHSA-gf29-4f56-r2jf, GHSA-64xh-79j6-r5v8, GHSA-8342-988q-86cr, GHSA-pf2q-pxhf-hgmw, GHSA-6qc9-mqvw-jg7x, GHSA-33q9-f52j-gc75, GHSA-x5vx-c2c8-m3w9, GHSA-35q8-9mj6-wjmf, GHSA-89gh-3pgc-v5h2, GHSA-fpg6-x68q-5793, GHSA-pm35-fqvh-cq5g, GHSA-9wcp-9r3j-383q, GHSA-9w78-79q7-r4fp, GHSA-q5xf-xhwf-cwqf, GHSA-777w-rpr6-c52h, GHSA-gq66-9cw5-j5jm, GHSA-p3rg-hrf9-w9gj, GHSA-g3r5-9h93-4j2c, GHSA-w867-jm58-p9pv, GHSA-2xgm-wc4g-5jvg, GHSA-2434-3x6q-8r99, GHSA-h44j-f5r5-ph73, GHSA-75qm-gp28-rcq9, GHSA-hwmj-qg4v-cvg9, GHSA-mq3m-f8x3-579w, GHSA-jp7m-xcgx-57qm, GHSA-q3j5-8vrg-4p9q, GHSA-jqpw-qww5-cj4c, GHSA-664h-gpgq-h6xx, GHSA-pmqw-72cg-wx85, GHSA-2j5h-858j-5mpf, GHSA-qrx8-25qr-5r7v, GHSA-rm2v-h48j-895m, GHSA-wrwr-h859-xh2r, GHSA-mhrx-qhrj-673w, GHSA-c37g-w77q-m4vp, GHSA-jpq7-226w-6cxx, GHSA-hv7x-3x78-gx53, GHSA-jqwr-vx3p-r266, GHSA-jvc7-762p-3743, GHSA-6h4j-wcr9-2vg7, GHSA-v733-mwr6-fgcm, GHSA-2vff-hj5x-8gq7, GHSA-c8xv-5998-g76h, GHSA-57g9-58c2-xjg3","CVE-2025-59466, CVE-2026-73088",,0,,,0,2,100,True,"GHSA_API, Releases",1756,376,406,0.2141,"aiohttp@3.12.15 (PyPI): GHSA-2fqr-mr3j-6wp8,GHSA-2vrm-gr82-f7m5,GHSA-3wq7-rqq7-wx6j; electron@catalog: (npm): GHSA-3c8v-cfp5-9885,GHSA-3p22-ghq8-v749,GHSA-4f78-qhmw-8j8m; vm2@catalog: (npm): GHSA-248r-7h7q-cr24,GHSA-2cm2-m3w5-gp2f,GHSA-47x8-96vw-5wg6; vm2@catalog: (npm): GHSA-248r-7h7q-cr24,GHSA-2cm2-m3w5-gp2f,GHSA-47x8-96vw-5wg6; axios@catalog: (npm): GHSA-3p68-rc4w-qgx5,GHSA-42xw-2xvc-qx8m,GHSA-43fc-jf86-j433",,,,,,
opencode,https://github.com/anomalyco/opencode,Coding Agent,TypeScript,201408,TRUE,True,True,822,2661,True,False,False,False,True,True,True,True,True,True,False,6,2,"GHSA-c83v-7274-4vgp, GHSA-vxw4-wv6m-9hhh",,,0,,,1,0,2,True,"GHSA_API, Docs_Corpus",673,94,128,0.1397,"hono@catalog: (npm): GHSA-2234-fmw7-43wr,GHSA-26pp-8wgv-hjvm,GHSA-2gcr-mfcq-wcc3; hono@catalog: (npm): GHSA-2234-fmw7-43wr,GHSA-26pp-8wgv-hjvm,GHSA-2gcr-mfcq-wcc3; astro@5.7.13 (npm): GHSA-26w7-cxv4-gfx2,GHSA-2pvr-wf23-7pc7,GHSA-376h-93r7-7g6f; dompurify@3.3.1 (npm): GHSA-39q2-94rc-95cp,GHSA-55q2-fjhq-7xh7,GHSA-76mc-f452-cxcm; dompurify@3.3.1 (npm): GHSA-39q2-94rc-95cp,GHSA-55q2-fjhq-7xh7,GHSA-76mc-f452-cxcm",,,,,,
claw-code,https://github.com/ultraworkers/claw-code,Coding Agent,Rust,195113,TRUE,True,True,59,1777,True,False,True,False,True,False,True,True,False,True,True,5,0,,,,0,,,1,0,0,True,Docs_Corpus,0,0,0,0.0,,,,,,,
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,Workflow & Automation Platform,Python,186870,TRUE,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,0,40,"GHSA-349p-3c3r-8mjr, GHSA-4m2w-qfr5-9f3v, GHSA-rq9m-xvc7-v9h6, GHSA-vm4v-5hgj-rq77, GHSA-8pjg-mfqm-vrhr, GHSA-xxpr-ccx5-48mf, GHSA-vj3m-g4cv-8j93, GHSA-c543-3829-f27q, GHSA-j2cp-jg5q-38wj, GHSA-4hqw-7f5j-5v66, GHSA-q58p-v9r9-7gqj, GHSA-8qc5-rhmg-r6r6, GHSA-4jwj-6mg5-wrwf, GHSA-rfg2-37xq-w4m9, GHSA-374w-2pxq-c9jp, GHSA-4crw-9p35-9x54, GHSA-r277-3xc5-c79v, GHSA-ppw9-h7rv-gwq9, GHSA-3cwv-4w3r-xqff, GHSA-rc89-6g7g-v5v7, GHSA-ggc4-4fmm-9hmc, GHSA-r55v-q5pc-j57f, GHSA-m2wr-7m3r-p52c, GHSA-x77j-qg2x-fgg6, GHSA-g26x-xwc5-7p44, GHSA-rg6v-m9x9-7wf9, GHSA-pppq-xx2w-7jpq, GHSA-7g34-7fvq-xxq6, GHSA-9fr4-9jj9-mhh6, GHSA-vw3v-whvp-33v5, GHSA-267x-8jx3-gg6w, GHSA-5cqw-g779-9f9x, GHSA-955p-gpfx-r66j, GHSA-958f-37vw-jx8f, GHSA-wvjg-9879-3m7w, GHSA-ggcm-93qg-gfhp, GHSA-4c8v-hwxc-2356, GHSA-r7f7-qrrv-3fjh, GHSA-5h38-mgp9-rj5f, GHSA-x5gj-2chr-4ch6",,,1,,,0,0,40,True,"GHSA_API, Releases",2598,132,555,0.0508,"pypdf@3.17.4 (PyPI): GHSA-23w6-3w8w-8484,GHSA-248m-82v9-q6g6,GHSA-2q4j-m29v-hq73; aiohttp@3.10.5 (PyPI): GHSA-2fqr-mr3j-6wp8,GHSA-2vrm-gr82-f7m5,GHSA-3wq7-rqq7-wx6j; gitpython@3.1.46 (PyPI): GHSA-284h-m62q-gf8w,GHSA-2f96-g7mh-g2hx,GHSA-3f7w-8rr8-f37f; aiohttp@3.13.3 (PyPI): GHSA-2fqr-mr3j-6wp8,GHSA-2vrm-gr82-f7m5,GHSA-3wq7-rqq7-wx6j; aiohttp@3.13.3 (PyPI): GHSA-2fqr-mr3j-6wp8,GHSA-2vrm-gr82-f7m5,GHSA-3wq7-rqq7-wx6j",,,,,,
langflow,https://github.com/langflow-ai/langflow,Workflow & Automation Platform,Python,153684,TRUE,True,True,1582,1047,True,False,False,False,True,True,True,True,True,True,True,7,31,"GHSA-79ph-745m-6wxq, GHSA-7w94-79vh-5mr2, GHSA-9c59-2mvc-vfr8, GHSA-jxw3-mjmx-3pqm, GHSA-v8hw-mh8c-jxfc, GHSA-qrpv-q767-xqq2, GHSA-vwmf-pq79-vjvx, GHSA-9whx-c884-c68q, GHSA-7grx-3xcx-2xv5, GHSA-g2j9-7rj2-gm6c, GHSA-5238-72vg-52vh, GHSA-rcjh-r59h-gq37, GHSA-ccv6-r384-xp75, GHSA-v5ff-9q35-q26f, GHSA-x223-p2gf-v735, GHSA-9fpm-3445-2vx4, GHSA-w584-2h2r-2hvf, GHSA-rf6x-r45m-xv3w, GHSA-cf6m-vc3m-7cgm, GHSA-4f6c-2vvp-gw82, GHSA-3645-fxcv-hqr4, GHSA-5993-7p27-66g5, GHSA-f43r-cc68-gpx4, GHSA-7hw8-6q6r-4276, GHSA-c5cp-vx83-jhqx, GHSA-4gv9-mp8m-592r, GHSA-8c4j-f57c-35cf, GHSA-rvqx-wpfh-mfx7, GHSA-87cc-65ph-2j4w, GHSA-ph9w-r52h-28p7, GHSA-qwqc-p3q8-wcg9",,"GHSA-2WCQ-PVW2-XH7V, GHSA-7RW4-V4GC-R864, GHSA-8QPJ-27X8-PWPQ, GHSA-CCV6-R384-XP75, GHSA-FJGC-VJ2F-77HM, GHSA-H3C6-FQR4-M99P, GHSA-JXW3-MJMX-3PQM, GHSA-MFP9-86W4-493F, GHSA-QJ98-RHF8-V93F, GHSA-RCJH-R59H-GQ37, GHSA-RPF3-3973-4GJR",12,,,4,0,42,True,"GHSA_API, Releases, Docs_Corpus",3811,61,124,0.016,"@xmldom/xmldom@0.9.10 (npm): GHSA-27p8-2357-5qqv,GHSA-3px3-54cx-rmw9,GHSA-4w3w-2rp5-g8jm; axios@1.17.0 (npm): GHSA-42h9-826w-cgv3,GHSA-7q8q-rj6j-mhjq,GHSA-f4gw-2p7v-4548; chromadb@1.5.9 (PyPI): GHSA-2wm9-hf6c-p5cr,GHSA-36p7-vc44-83pf,GHSA-f4j7-r4q5-qw2c; fast-uri@3.0.6 (npm): GHSA-4c8g-83qw-93j6,GHSA-7p8r-x3mc-p8w7,GHSA-f65p-4m7j-42xc; pypdf@6.15.0 (PyPI): GHSA-23w6-3w8w-8484,GHSA-763m-79hh-57f2,GHSA-jp53-mhqp-8xcg",,,,,,
dify,https://github.com/langgenius/dify,Workflow & Automation Platform,TypeScript,153519,TRUE,True,True,174,1116,True,False,False,False,True,False,True,True,True,False,True,5,21,"GHSA-ccrj-frp2-c945, GHSA-9c9q-5rj5-mjj2, GHSA-fj5w-7rc8-3f3f, GHSA-5vmp-5q9h-hmr7, GHSA-qqjx-5h5w-x5vj, GHSA-qpv6-75c2-75h4, GHSA-phpv-94hg-fv9g, GHSA-cg94-8v83-7hjj, GHSA-9qpf-wcv3-w3qx, GHSA-fxq3-hh7x-c63p, GHSA-jg5j-c9pq-w894, GHSA-9jch-j9qf-vqfw, GHSA-8235-vv5j-mmvg, GHSA-fw4f-cghv-2v33, GHSA-grmh-ww4v-5cgj, GHSA-cg9f-q34p-p9h3, GHSA-6pw4-jqhv-3626, GHSA-jp6m-v4gw-5vgp, GHSA-hqcx-598m-pjq4, GHSA-gg5w-m2vw-vmmj, GHSA-jhgq-cx3f-vj5p","CVE-2024-5565, CVE-2025-55182, CVE-2025-6176, CVE-2025-64718, CVE-2026-41948, CVE-2026-42208","GHSA-2QWC-C2CC-2XWV, GHSA-48XC-WMW8-3JR3, GHSA-4Q3W-Q5MC-45RQ, GHSA-FV66-9V8Q-G76R, GHSA-GVC6-FH3X-89XH",6,,,2,6,26,True,"GHSA_API, Releases, Docs_Corpus",1067,74,184,0.0694,"hono@catalog: (npm): GHSA-2234-fmw7-43wr,GHSA-26pp-8wgv-hjvm,GHSA-2gcr-mfcq-wcc3; hono@catalog: (npm): GHSA-2234-fmw7-43wr,GHSA-26pp-8wgv-hjvm,GHSA-2gcr-mfcq-wcc3; dompurify@catalog: (npm): GHSA-39q2-94rc-95cp,GHSA-55q2-fjhq-7xh7,GHSA-63q7-h895-m982; undici@catalog: (npm): GHSA-2mjp-6q6p-2qxm,GHSA-35p6-xmwp-9g52,GHSA-3787-6prv-h9w3; vite@catalog: (npm): GHSA-353f-5xf4-qw67,GHSA-356w-63v5-8wf4,GHSA-4r4m-qw57-chr8",,,,,,
agency-agents,https://github.com/msitarzewski/agency-agents,Workflow & Automation Platform,Shell,148040,TRUE,True,True,325,1066,True,True,False,False,True,True,True,True,True,True,True,7,0,,,,0,,,4,0,0,True,Docs_Corpus,0,0,0,0.0,,,,,,,
