Repo_Name,Repo_URL,GHSA_Recheck_Status,Doc_Corpus_Coverage,Possibly_Missed_Changelog_Files,OSV_Self_Package_Ecosystem_Tried,OSV_Self_Package_Hits,Likely_Real_Absence
AReaL,https://github.com/areal-project/AReaL,confirmed_zero,189_docs_collected,,PyPI,,True
AgentGPT,https://github.com/reworkd/AgentGPT,confirmed_zero,26_docs_collected,,npm,,True
AgentVerse,https://github.com/OpenBMB/AgentVerse,confirmed_zero,29_docs_collected,,npm,,True
CopyTranslator,https://github.com/CopyTranslator/CopyTranslator,confirmed_zero,46_docs_collected,,npm,,True
Crucix,https://github.com/calesthio/Crucix,confirmed_zero,8_docs_collected,,npm,,True
DojoAgents,https://github.com/Alpha-Dojo/DojoAgents,confirmed_zero,116_docs_collected,,PyPI,,True
Everywhere,https://github.com/Sylinko/Everywhere,confirmed_zero,98_docs_collected,,,,True
Jarvis,https://github.com/sukeesh/Jarvis,confirmed_zero,13_docs_collected,,PyPI,,True
Jobs_Applier_AI_Agent_AIHawk,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk,confirmed_zero,89_docs_collected,,PyPI,,True
MIRIX,https://github.com/Mirix-AI/MIRIX,confirmed_zero,80_docs_collected,,PyPI,,True
MetaGPT,https://github.com/FoundationAgents/MetaGPT,confirmed_zero,96_docs_collected,,PyPI,"GHSA-3c3g-7hwg-9qmr, GHSA-3ghp-8r47-4gj4, GHSA-fcc8-4q7h-wvwc, GHSA-g7ph-8423-pf4j, GHSA-g977-h85w-h2xj, GHSA-qw5f-qpq5-ppfg, GHSA-r5v8-c28h-f8r8, GHSA-w287-wwhf-95vv, GHSA-wp29-qmvj-frvp, GHSA-xr7v-m9px-q4qj, PYSEC-2024-9, PYSEC-2026-2637, PYSEC-2026-2638, PYSEC-2026-2639, PYSEC-2026-2640, PYSEC-2026-2641, PYSEC-2026-2642, PYSEC-2026-2643, PYSEC-2026-2644, PYSEC-2026-2645",False
N.E.K.O,https://github.com/Project-N-E-K-O/N.E.K.O,confirmed_zero,539_docs_collected,,PyPI,,True
NagaAgent,https://github.com/RTGS2017/NagaAgent,confirmed_zero,71_docs_collected,,PyPI,,True
Open-Assistant,https://github.com/LAION-AI/Open-Assistant,confirmed_zero,151_docs_collected,,PyPI,,True
OpenHarness,https://github.com/HKUDS/OpenHarness,confirmed_zero,21_docs_collected,"RELEASE_NOTES_v0.1.8.md, RELEASE_NOTES_v0.1.9.md",PyPI,,False
OpenJarvis,https://github.com/open-jarvis/OpenJarvis,confirmed_zero,119_docs_collected,,PyPI,,True
OpenMontage,https://github.com/calesthio/OpenMontage,confirmed_zero,1105_docs_collected,,PyPI,,True
QwenPaw,https://github.com/agentscope-ai/QwenPaw,confirmed_zero,429_docs_collected,,PyPI,,True
SuperAGI,https://github.com/TransformerOptimus/SuperAGI,confirmed_zero,44_docs_collected,,PyPI,,True
TaskingAI,https://github.com/TaskingAI/TaskingAI,confirmed_zero,130_docs_collected,,PyPI,,True
TencentDB-Agent-Memory,https://github.com/TencentCloud/TencentDB-Agent-Memory,confirmed_zero,70_docs_collected,,npm,,True
agent-browser,https://github.com/vercel-labs/agent-browser,confirmed_zero,78_docs_collected,,crates.io,,True
agent-orchestrator,https://github.com/Untrivial-ai/agent-orchestrator,confirmed_zero,165_docs_collected,,Go,,True
