Repo_Name,Repo_URL,Has_SECURITY_File_In_Docs,Has_README_In_Docs,Total_Doc_Files_Scanned,SECURITY_MD_Char_Count,Has_Contact_Channel,Has_Response_SLA,Has_Supported_Versions,Has_PGP_Key,Sandboxing,Human_Approval_Gate,Tool_Allow_Deny_List,Rate_Limiting,Credential_Handling,Prompt_Injection_Awareness,Audit_Logging,Guardrail_Signal_Count
Anthropic-Cybersecurity-Skills,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,True,True,2587,1644,True,True,True,False,True,True,True,True,True,True,True,7
Archon,https://github.com/coleam00/Archon,True,True,255,24559,True,False,False,False,True,True,True,True,True,True,True,7
CopilotKit,https://github.com/CopilotKit/CopilotKit,True,True,2325,1982,True,False,True,False,True,True,True,True,True,True,True,7
ECC,https://github.com/affaan-m/ECC,True,True,2557,125556,True,False,True,False,True,True,True,True,True,True,True,7
OpenJarvis,https://github.com/open-jarvis/OpenJarvis,True,True,119,27919,True,False,False,True,True,True,True,True,True,True,True,7
OpenShell,https://github.com/NVIDIA/OpenShell,True,True,214,1908,True,False,False,True,True,True,True,True,True,True,True,7
QwenPaw,https://github.com/agentscope-ai/QwenPaw,True,True,429,11302,False,False,False,False,True,True,True,True,True,True,True,7
activepieces,https://github.com/activepieces/activepieces,True,True,1205,4342,True,False,False,False,True,True,True,True,True,True,True,7
agency-agents,https://github.com/msitarzewski/agency-agents,True,True,325,1066,True,True,False,False,True,True,True,True,True,True,True,7
agent-browser,https://github.com/vercel-labs/agent-browser,False,True,78,0,False,False,False,False,True,True,True,True,True,True,True,7
ai,https://github.com/vercel/ai,True,True,931,387,False,False,False,False,True,True,True,True,True,True,True,7
airflow,https://github.com/apache/airflow,True,True,2246,8246,True,False,False,True,True,True,True,True,True,True,True,7
claude-code,https://github.com/anthropics/claude-code,True,True,110,674,False,False,False,False,True,True,True,True,True,True,True,7
claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,False,True,122,0,False,False,False,False,True,True,True,True,True,True,True,7
claude-mem,https://github.com/thedotmack/claude-mem,True,True,247,8647,True,False,True,False,True,True,True,True,True,True,True,7
crewAI,https://github.com/crewAIInc/crewAI,True,True,27983,495,True,False,False,False,True,True,True,True,True,True,True,7
deepchat,https://github.com/ThinkInAIXYZ/deepchat,False,True,234,0,False,False,False,False,True,True,True,True,True,True,True,7
deer-flow,https://github.com/bytedance/deer-flow,True,True,308,398,True,False,True,False,True,True,True,True,True,True,True,7
eliza,https://github.com/elizaOS/eliza,True,True,1076,12629,True,False,True,False,True,True,True,True,True,True,True,7
goose,https://github.com/aaif-goose/goose,True,True,397,12014,True,False,False,False,True,True,True,True,True,True,True,7
gsd-2,https://github.com/gsd-build/gsd-2,True,True,757,2070,False,False,False,False,True,True,True,True,True,True,True,7
hermes-agent,https://github.com/NousResearch/hermes-agent,True,True,1646,81786,True,False,False,False,True,True,True,True,True,True,True,7
hyperframes,https://github.com/heygen-com/hyperframes,True,True,1272,739,True,False,True,False,True,True,True,True,True,True,True,7
kilocode,https://github.com/Kilo-Org/kilocode,True,True,558,2435,True,False,False,False,True,True,True,True,True,True,True,7
langflow,https://github.com/langflow-ai/langflow,True,True,1582,1047,True,False,False,False,True,True,True,True,True,True,True,7
lobehub,https://github.com/lobehub/lobehub,True,True,833,6608,True,True,True,False,True,True,True,True,True,True,True,7
lotti,https://github.com/matthiasn/lotti,True,True,1071,1892,True,False,False,False,True,True,True,True,True,True,True,7
mastra,https://github.com/mastra-ai/mastra,False,True,1837,0,False,False,False,False,True,True,True,True,True,True,True,7
mem0,https://github.com/mem0ai/mem0,True,True,400,2278,True,False,True,False,True,True,True,True,True,True,True,7
oh-my-openagent,https://github.com/code-yeongyu/oh-my-openagent,False,True,2417,0,False,False,False,False,True,True,True,True,True,True,True,7
open-design,https://github.com/nexu-io/open-design,False,True,2250,0,False,False,False,False,True,True,True,True,True,True,True,7
openai-agents-python,https://github.com/openai/openai-agents-python,True,True,531,4474,True,False,False,True,True,True,True,True,True,True,True,7
openclaw,https://github.com/openclaw/openclaw,True,True,2138,47483,True,False,False,False,True,True,True,True,True,True,True,7
openhuman,https://github.com/tinyhumansai/openhuman,True,True,279,13101,True,False,True,False,True,True,True,True,True,True,True,7
osaurus,https://github.com/osaurus-ai/osaurus,True,True,205,10069,True,False,True,False,True,True,True,True,True,True,True,7
paperclip,https://github.com/paperclipai/paperclip,True,True,577,12116,True,False,False,False,True,True,True,True,True,True,True,7
pentagi,https://github.com/vxcontrol/pentagi,False,True,98,0,False,False,False,False,True,True,True,True,True,True,True,7
posthog,https://github.com/PostHog/posthog,True,True,1532,19953,False,False,False,False,True,True,True,True,True,True,True,7
qm,https://github.com/yc-software/qm,True,True,137,12927,True,False,True,False,True,True,True,True,True,True,True,7
ragflow,https://github.com/infiniflow/ragflow,True,True,234,1948,True,False,True,False,True,True,True,True,True,True,True,7
row-bot,https://github.com/siddsachar/row-bot,True,True,171,1013,True,False,True,False,True,True,True,True,True,True,True,7
ruflo,https://github.com/ruvnet/ruflo,True,True,1912,6921,True,True,True,False,True,True,True,True,True,True,True,7
sim,https://github.com/simstudioai/sim,True,True,680,889,True,False,True,False,True,True,True,True,True,True,True,7
skyvern,https://github.com/Skyvern-AI/skyvern,True,True,325,860,True,False,True,False,True,True,True,True,True,True,True,7
trigger.dev,https://github.com/triggerdotdev/trigger.dev,True,True,568,3678,True,False,True,False,True,True,True,True,True,True,True,7
worldmonitor,https://github.com/koala73/worldmonitor,True,True,753,5462,True,True,True,False,True,True,True,True,True,True,True,7
zeroclaw,https://github.com/zeroclaw-labs/zeroclaw,True,True,280,2916,True,True,True,False,True,True,True,True,True,True,True,7
AionUi,https://github.com/iOfficeAI/AionUi,False,True,114,0,False,False,False,False,True,True,True,True,True,True,False,6
DocsGPT,https://github.com/arc53/DocsGPT,True,True,102,663,True,False,True,False,True,True,True,True,False,True,True,6
FastGPT,https://github.com/labring/FastGPT,True,True,654,5342,False,True,False,False,True,False,True,True,True,True,True,6
Jobs_Applier_AI_Agent_AIHawk,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk,False,True,89,0,False,False,False,False,True,False,True,True,True,True,True,6
N.E.K.O,https://github.com/Project-N-E-K-O/N.E.K.O,False,True,539,0,False,False,False,False,True,False,True,True,True,True,True,6
OpenMetadata,https://github.com/open-metadata/OpenMetadata,True,True,518,1004,True,False,True,False,True,False,True,True,True,True,True,6
OpenMontage,https://github.com/calesthio/OpenMontage,False,True,1105,0,False,False,False,False,True,True,True,True,False,True,True,6
Upsonic,https://github.com/Upsonic/Upsonic,True,True,90,1354,True,False,False,False,True,True,True,True,False,True,True,6
Vibe-Trading,https://github.com/HKUDS/Vibe-Trading,True,True,423,2486,True,False,True,False,True,True,True,True,True,False,True,6
agent-framework,https://github.com/microsoft/agent-framework,True,True,685,2656,True,False,False,True,True,True,True,True,False,True,True,6
agno,https://github.com/agno-agi/agno,False,True,767,0,False,False,False,False,True,True,True,True,False,True,True,6
brigade,https://github.com/spinabot/brigade,True,True,88,6528,True,False,True,False,True,True,True,True,True,True,False,6
cc-switch,https://github.com/farion1231/cc-switch,True,True,209,9849,True,True,True,False,True,True,True,True,True,True,False,6
cherry-studio,https://github.com/CherryHQ/cherry-studio,True,True,419,2284,True,False,True,False,True,True,True,True,True,False,True,6
cline,https://github.com/cline/cline,True,True,311,952,True,False,True,False,True,True,True,True,True,False,True,6
gpt-researcher,https://github.com/assafelovic/gpt-researcher,True,True,173,3252,True,False,True,False,True,True,True,True,True,True,False,6
inbox-zero,https://github.com/elie222/inbox-zero,True,True,196,1005,True,False,False,False,True,True,True,True,True,True,False,6
memU,https://github.com/NevaMind-AI/memU,False,True,57,0,False,False,False,False,True,True,True,True,True,False,True,6
mlflow,https://github.com/mlflow/mlflow,True,True,559,2175,True,False,True,False,True,False,True,True,True,True,True,6
nofx,https://github.com/NoFxAiOS/nofx,True,True,112,17428,True,True,True,False,True,True,True,True,True,False,True,6
nx,https://github.com/nrwl/nx,True,True,500,3451,True,False,False,False,True,True,True,True,True,True,False,6
opencode,https://github.com/anomalyco/opencode,True,True,822,2661,True,False,False,False,True,True,True,True,True,True,False,6
pi,https://github.com/earendil-works/pi,True,True,144,9541,True,False,False,False,True,True,True,True,True,True,False,6
ten-framework,https://github.com/TEN-framework/ten-framework,True,True,1701,3520,True,False,True,True,True,False,True,True,True,True,True,6
AstrBot,https://github.com/AstrBotDevs/AstrBot,False,True,450,0,False,False,False,False,True,False,True,True,False,True,True,5
ClawRouter,https://github.com/BlockRunAI/ClawRouter,False,True,34,0,False,False,False,False,True,False,True,True,True,False,True,5
CowAgent,https://github.com/zhayujie/CowAgent,False,True,313,0,False,False,False,False,True,False,True,True,False,True,True,5
Everywhere,https://github.com/Sylinko/Everywhere,True,True,98,1362,True,False,False,False,True,False,True,True,True,True,False,5
PraisonAI,https://github.com/MervinPraison/PraisonAI,True,True,191,3116,True,False,False,False,True,True,True,True,False,True,False,5
agent-orchestrator,https://github.com/Untrivial-ai/agent-orchestrator,False,True,165,0,False,False,False,False,True,False,True,True,True,True,False,5
agent-zero,https://github.com/agent0ai/agent-zero,False,True,690,0,False,False,False,False,True,True,True,True,False,True,False,5
ai-berkshire,https://github.com/xbtlin/ai-berkshire,True,True,2676,484,True,False,True,False,True,True,True,True,False,True,False,5
browser-use,https://github.com/browser-use/browser-use,True,True,60,1038,False,False,False,False,True,True,True,True,False,False,True,5
camel,https://github.com/camel-ai/camel,True,True,760,2431,True,False,True,False,True,True,True,True,False,True,False,5
cc-connect,https://github.com/chenhg5/cc-connect,False,True,51,0,False,False,False,False,True,True,True,True,False,False,True,5
chatbox,https://github.com/chatboxai/chatbox,False,True,63,0,False,False,False,False,True,True,True,True,True,False,False,5
claw-code,https://github.com/ultraworkers/claw-code,True,True,59,1777,True,False,True,False,True,False,True,True,False,True,True,5
cli,https://github.com/googleworkspace/cli,True,True,128,386,True,True,False,False,False,False,True,True,True,True,True,5
codex,https://github.com/openai/codex,True,True,634,3299,False,False,False,False,True,True,True,True,False,True,False,5
cognee,https://github.com/topoteretes/cognee,True,True,195,427,True,False,False,False,True,False,True,True,True,True,False,5
context-mode,https://github.com/mksglu/context-mode,False,True,67,0,False,False,False,False,True,False,True,True,False,True,True,5
dify,https://github.com/langgenius/dify,True,True,174,1116,True,False,False,False,True,False,True,True,True,False,True,5
go-micro,https://github.com/micro/go-micro,True,True,224,7526,True,True,True,False,True,True,False,True,False,True,True,5
mcp-use,https://github.com/mcp-use/mcp-use,True,True,452,1073,True,True,False,False,True,True,True,True,True,False,False,5
nanobot,https://github.com/HKUDS/nanobot,True,True,103,14588,True,False,False,False,True,False,True,True,True,False,True,5
nullclaw,https://github.com/nullclaw/nullclaw,True,True,57,20265,True,True,True,False,True,False,True,True,True,False,True,5
openhanako,https://github.com/liliMozi/openhanako,True,True,60,2705,True,True,False,False,True,True,True,True,False,False,True,5
pipecat,https://github.com/pipecat-ai/pipecat,True,True,55,86,True,False,False,False,True,True,True,True,False,False,True,5
prime-agent,https://github.com/PrimeIntellect-ai/prime-agent,True,True,148,1268,True,False,False,False,True,True,True,True,True,False,False,5
superagent,https://github.com/superagent-ai/superagent,True,True,57,1290,True,False,True,False,True,False,True,True,False,True,True,5
AReaL,https://github.com/areal-project/AReaL,False,True,189,0,False,False,False,False,True,True,True,True,False,False,False,4
DB-GPT,https://github.com/eosphoros-ai/DB-GPT,False,True,704,0,False,False,False,False,True,True,False,True,True,False,False,4
LangBot,https://github.com/langbot-app/LangBot,False,True,100,0,False,False,False,False,True,False,True,True,False,False,True,4
